tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_js_A_tree,10000,0.27397889399994163,14160,14160,0.005247523999772966,0.0030436509996652605,0.005160857000388205,0.002736553999595344
sophia_js_A_tree,10000,0.2224277459997684,6216,6216,0.0019521750006824732,0.0011725930003449322,0.0018209460005164145,0.0009717950001358986
sophia_js_A_tree,10000,0.2335637230006978,14168,14168,0.0021459459997713566,0.001223183000460267,0.002056963000446558,0.0010690850000828504
sophia_js_A_tree,10000,0.22096954500023275,4608,4608,0.002214250000193715,0.0012677180003374815,0.002088817000389099,0.0010751750003546476
sophia_js_A_tree,20000,0.4878494919994846,14716,14716,0.005662887999787927,0.00321694300044328,0.005340079000219703,0.0033112620003521442
sophia_js_A_tree,20000,0.3870428179996088,14732,14732,0.0041982009997591375,0.002191739000380039,0.00394720199983567,0.002457507999613881
sophia_js_A_tree,20000,0.3867169490000233,13824,13824,0.004044645000249147,0.0022614580001682045,0.003928344000130892,0.00222189399972558
sophia_js_A_tree,20000,0.38642807899974285,14636,14636,0.004025283000431955,0.0022359769996255635,0.003879658999852836,0.0021643670005723832
sophia_js_A_tree,40000,0.6827056220006198,14488,14488,0.0070415529999881986,0.004281871000304818,0.0068773039998486635,0.0034142900006845596
sophia_js_A_tree,40000,0.6428870109999553,14412,14412,0.007668582000769674,0.004334948000498116,0.007572762999683618,0.003375004000030458
sophia_js_A_tree,40000,0.7046538890004158,14196,14196,0.00771707500051707,0.004867902000434697,0.007752561999484897,0.0034918250003829598
sophia_js_A_tree,40000,0.6899687100006268,14636,14636,0.007671787999570369,0.004517354999668897,0.00757727799937129,0.0036000749999657274
sophia_js_A_tree,80000,1.1622338570002466,14820,14820,0.013874501000158489,0.007327743000350892,0.013866104000248016,0.004701001999899745
sophia_js_A_tree,80000,1.320848619999364,14580,14580,0.016928253000602127,0.009945261999964714,0.016943833000026644,0.006287648000754416
sophia_js_A_tree,80000,1.1605962720001117,14336,14336,0.01517552400007844,0.00756889500003308,0.01498677899967879,0.004960337999276817
sophia_js_A_tree,80000,1.1545589650003238,14800,14800,0.015034925999119878,0.00846845700033009,0.015049251000396908,0.005456757000647485
sophia_js_A_tree,100000,1.4379459260003642,13824,13824,0.0173134080003947,0.009100481000728905,0.01737448700051755,0.0059232919998466966
sophia_js_A_tree,100000,1.5246887759994716,13312,13312,0.015998066999949514,0.008479332000017166,0.016408773000352084,0.005977750999853015
sophia_js_A_tree,100000,1.4562925979997963,29696,29696,0.01731686899997294,0.009185844999738037,0.017550719999708236,0.006564810000360012
sophia_js_A_tree,100000,1.4367759450003506,29696,29696,0.015592597000300884,0.008092335999943316,0.01583108799997717,0.0056154249999672175
sophia_js_A_tree,1000000,13.428275082000532,29696,30208,0.2017496539996937,0.07158896099962295,0.2022359239999205,0.06102858799975366
sophia_js_A_tree,1000000,13.279632005999796,31300,30788,0.18211420700047165,0.06547473999951035,0.18557893100008369,0.05675727800000459
sophia_js_A_tree,1000000,13.135442987999879,29696,29696,0.18318429300002753,0.06533342500030995,0.18531807299982755,0.05589781100023538
sophia_js_A_tree,1000000,13.854199102999642,29696,29696,0.23681803699955345,0.07020704199932516,0.2036992610003799,0.061589150000363586
