tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_tree,10000,0.034116421,2792,3864,0.002970407,0.000070668,0.001391367,0.000058226
sophia_tree,10000,0.034315549,2792,3864,0.003024778,0.000063586,0.001368143,0.000064103
sophia_tree,10000,0.034812245,2792,3864,0.003149985,0.000058868,0.001414741,0.000058073
sophia_tree,10000,0.034642201,2792,3864,0.003177749,0.000068407,0.001587511,0.000069482
sophia_tree,20000,0.069327282,4916,6960,0.006464615,0.000129854,0.003074039,0.000130799
sophia_tree,20000,0.071847426,4916,6960,0.006641691,0.000141514,0.00306402,0.000137393
sophia_tree,20000,0.071716973,4916,6960,0.006719505,0.000146821,0.003018054,0.000146599
sophia_tree,20000,0.073268716,4916,6960,0.006976767,0.000134612,0.003186617,0.000131256
sophia_tree,40000,0.141857238,9116,13116,0.014038395,0.000288384,0.006472673,0.000290788
sophia_tree,40000,0.141324242,9116,13116,0.014068645,0.000309759,0.006447814,0.000310027
sophia_tree,40000,0.143596093,9116,13116,0.014160053,0.000273374,0.006393596,0.000281829
sophia_tree,40000,0.141234494,9116,13116,0.01410583,0.000298417,0.006526148,0.000287681
sophia_tree,80000,0.280504753,17468,25320,0.028545591,0.000531386,0.012715127,0.000529328
sophia_tree,80000,0.28032251,17468,25320,0.028265405,0.000544971,0.012663594,0.000533191
sophia_tree,80000,0.275912898,17468,25320,0.028211824,0.000550456,0.012878457,0.000555498
sophia_tree,80000,0.276683674,17468,25320,0.028450389,0.000626299,0.012792867,0.000603731
sophia_tree,100000,0.362202986,26904,33996,0.033125382,0.000625882,0.014836684,0.00062608
sophia_tree,100000,0.360889226,26904,33996,0.032936795,0.000673684,0.014690321,0.000663806
sophia_tree,100000,0.364279035,26904,33996,0.032869149,0.000695911,0.014889783,0.000698226
sophia_tree,100000,0.36940644,26904,33996,0.034289161,0.000749076,0.015325256,0.000718898
sophia_tree,1000000,3.578010681,151072,194836,0.420868736,0.007854136,0.228669315,0.00790712
sophia_tree,1000000,3.623248785,151072,194836,0.425493034,0.008552459,0.22749716,0.008320536
sophia_tree,1000000,3.537627639,151072,194836,0.437604743,0.00874194,0.228930718,0.008791364
sophia_tree,1000000,3.630359881,151072,194836,0.496442537,0.0087713,0.244444321,0.008588647
